CustLocation,TotalTransactions,TotalAmount,AvrageAmount
NIRMAL NAGAR BANDRA (E) S O MUMBAI,1,545,545
PUKHURIA,2,469.68,234.84
CALCUTTA,13,97470,7497.692308
ROAD SATELLITE AHMEDABAD,4,1415,353.75
TIRUNELVELI DT,9,7505,833.8888889
DIST-THANE,1,3186,3186
WARDHA,5,1672,334.4
PURAPUZHA,3,1210.84,403.6133333
TEMPLE BENGALURU,6,6354,1059
POLICE STATION KOLKATA,1,579,579
EAST MUMBAI(SUBURBAN),2,6148.38,3074.19
BEGU ROAD SIRSA,1,507,507
NALLASOPARA E,1,1149,1149
TERMINAL 2 WADALA EAST MUMBAI,3,2554,851.3333333
FAZILKA,19,6648.69,349.9310526
BANASHANKARI II STAGE BANGALORE,1,1050,1050
NAGAR BANGALORE,9,5801.02,644.5577778
SANGHA KOLKATA,1,285,285
JEWELLERS DELHI,4,79617.1,19904.275
SATNA,21,14877.35,708.4452381
DIST DHANBAD,1,547,547
RICHARDS TOWN BANGLORE,3,4875.23,1625.076667
HARDWAR,10,18046,1804.6
DERABASSI,47,36914.65,785.4180851
SHAH ALAM,1,7290,7290
N T PUNE,7,15946,2278
HADPSAR I C PUNE,1,4840.65,4840.65
"AIZAWL, MIZORAM",10,3428.4,342.84
STUDIO ANDHERI W MUMBAI,1,270,270
RACHI,2,1161,580.5
NAMAKKAL,27,38617.74,1430.286667
SARJAPUR MAIN RD BANGALORE,2,1739,869.5
AMBIKAPUR,3,1455,485
MAZHAVANTHANGAL VILLAGE,1,315,315
KORBA,7,5326,760.8571429
BUS DEPOT MUMBAI,6,9265,1544.166667
ROAD TIRUPUR,3,1204,401.3333333
KATARGAM SURAT,3,1198,399.3333333
BARIATU ROAD RANCHI,7,2171,310.1428571
BHUBANESWER,1,963.73,963.73
OFFICE MRA 62 H N  TRIVANDRUM,2,1823,911.5
VERNA,24,13830.97,576.2904167
TIRUCHIRAPALLY (TRICHY),10,7604,760.4
MEDICAL CENTRE CHENNAI,2,1688,844
PERAMBALUR DT,8,2696.5,337.0625
RAJASMAND,1,1177,1177
TIRUCHIRAPALLI DT,2,1094,547
SILVASSA,16,3758.5,234.90625
TADEPALLIGUDEM WEST GODAVARI,1,4520,4520
DOMBIVLI W,3,1390,463.3333333
MUMBAI THANE,6,1036,172.6666667
RIYADH,6,14982,2497
DHARWARD,25,8858.33,354.3332
GOKULPUR,2,7729,3864.5
HOSPITAL BANGALORE,15,12746.08,849.7386667
DAKSHINA KANNADA,8,2509,313.625
DEOPUR DHULE,1,100,100
ANDHERI E B/H AKRUTI STAR MUMBAI,1,856.26,856.26
KARSOG,8,19491.22,2436.4025
CHAMPAWAT,14,12940.6,924.3285714
EAST MUMBAI,62,37750.27,608.8753226
CHINCHWAD PUNE,16,8455.93,528.495625
GONDIYA,6,2745.3,457.55
CENTER HYDERABAD,4,12803,3200.75
KALAYAN W,8,773,96.625
MADHURAI,1,1190.38,1190.38
18 CTS 65 CHEMBUR MUMBAI,1,2750,2750
ABUDHABI,3,5855,1951.666667
GURGOAN,15,21628.3,1441.886667
GATE NO 4 MUMBAI,9,1098062,122006.8889
MALDA,5,1732.5,346.5
CUDDALORE(DT),1,350,350
MUSSOORIE,35,50014.46,1428.984571
MUNCHEN,7,788150,112592.8571
SEHORE,8,19828.14,2478.5175
SARAN,18,11143,619.0555556
ALAM ROZA AHMEDABAD,1,299,299
VILLAGE UTTARAHALLI BANGALORE,8,7272.68,909.085
PEN,30,45489.34,1516.311333
COMMUNITY HALL HYDERABAD,3,6,2
